Time,,,,Roll,Pitch
0.04,-0.12,0.33,,0.12,-0.33
0.05,-0.22,0.65,,0.22,-0.65
0.05,-0.34,0.93,,0.34,-0.93
0.05,-0.45,1.2,,0.45,-1.2
0.05,-0.56,1.44,,0.56,-1.44
0.08,-0.67,1.7,,0.67,-1.7
0.1,-0.76,1.93,,0.76,-1.93
0.11,-0.83,2.16,,0.83,-2.16
0.13,-0.92,2.34,,0.92,-2.34
0.15,-1,2.51,,1,-2.51
0.17,-1.06,2.68,,1.06,-2.68
0.19,-1.14,2.86,,1.14,-2.86
0.21,-1.25,2.99,,1.25,-2.99
0.23,-1.33,3.15,,1.33,-3.15
0.25,-1.42,3.24,,1.42,-3.24
0.27,-1.49,3.37,,1.49,-3.37
0.29,-1.55,3.48,,1.55,-3.48
0.31,-1.62,3.58,,1.62,-3.58
0.33,-1.65,3.74,,1.65,-3.74
0.35,-1.67,3.85,,1.67,-3.85
0.37,-1.69,3.98,,1.69,-3.98
0.39,-1.72,4.09,,1.72,-4.09
0.41,-1.73,4.12,,1.73,-4.12
0.43,-1.78,4.2,,1.78,-4.2
0.45,-1.75,4.24,,1.75,-4.24
0.47,-1.76,4.23,,1.76,-4.23
0.49,-1.8,4.31,,1.8,-4.31
0.51,-1.98,4.27,,1.98,-4.27
0.53,-2.08,4.09,,2.08,-4.09
0.55,-2.19,3.8,,2.19,-3.8
0.57,-2.32,3.31,,2.32,-3.31
0.59,-2.34,2.94,,2.34,-2.94
0.61,-2.36,2.58,,2.36,-2.58
0.63,-2.38,2.24,,2.38,-2.24
0.65,-2.36,1.86,,2.36,-1.86
0.67,-2.34,1.43,,2.34,-1.43
0.69,-2.42,0.7,,2.42,-0.7
0.71,-2.44,0.05,,2.44,-0.05
0.73,-2.37,-0.76,,2.37,0.76
0.75,-2.31,-1.6,,2.31,1.6
0.77,-2.28,-2.78,,2.28,2.78
0.79,-2.18,-4.19,,2.18,4.19
0.81,-2.14,-5.99,,2.14,5.99
0.83,-2.16,-7.96,,2.16,7.96
0.85,-2,-9.75,,2,9.75
0.87,-1.99,-11.63,,1.99,11.63
0.89,-2.11,-13.77,,2.11,13.77
0.92,-1.97,-15.88,,1.97,15.88
0.94,-1.92,-18,,1.92,18
0.96,-2.16,-20.32,,2.16,20.32
0.98,-2.15,-22.44,,2.15,22.44
1,-2.25,-24.69,,2.25,24.69
1.03,-2.51,-26.91,,2.51,26.91
1.05,-2.48,-28.83,,2.48,28.83
1.07,-2.37,-30.69,,2.37,30.69
1.09,-2.39,-32.86,,2.39,32.86
1.11,-2.46,-34.95,,2.46,34.95
1.13,-2.62,-36.91,,2.62,36.91
1.16,-2.84,-38.54,,2.84,38.54
1.18,-2.78,-40.51,,2.78,40.51
1.2,-2.55,-42.57,,2.55,42.57
1.22,-2.39,-45.29,,2.39,45.29
1.24,-1.97,-47.47,,1.97,47.47
1.26,-1.86,-50.06,,1.86,50.06
1.29,-1.84,-52.25,,1.84,52.25
1.31,-1.67,-54.42,,1.67,54.42
1.33,-1.47,-56.5,,1.47,56.5
1.35,-1.38,-58.47,,1.38,58.47
1.37,-1.2,-60.28,,1.2,60.28
1.4,-1.12,-61.96,,1.12,61.96
1.42,-1.14,-63.4,,1.14,63.4
1.44,-1.08,-64.88,,1.08,64.88
1.46,-1.14,-66.26,,1.14,66.26
1.48,-1.17,-67.37,,1.17,67.37
1.51,-1.29,-68.42,,1.29,68.42
1.53,-1.31,-69.39,,1.31,69.39
1.55,-1.41,-70.26,,1.41,70.26
1.57,-1.43,-70.98,,1.43,70.98
1.59,-1.47,-71.6,,1.47,71.6
1.61,-1.51,-72.21,,1.51,72.21
1.64,-1.49,-72.8,,1.49,72.8
1.66,-1.47,-73.46,,1.47,73.46
1.68,-1.51,-73.9,,1.51,73.9
1.7,-1.54,-74.15,,1.54,74.15
1.72,-1.49,-74.46,,1.49,74.46
1.75,-1.52,-74.81,,1.52,74.81
1.77,-1.47,-75.21,,1.47,75.21
1.79,-1.48,-75.44,,1.48,75.44
1.81,-1.42,-75.67,,1.42,75.67
1.83,-1.42,-75.89,,1.42,75.89
1.86,-1.42,-76.26,,1.42,76.26
1.88,-1.45,-76.51,,1.45,76.51
1.9,-1.48,-76.64,,1.48,76.64
1.92,-1.49,-76.84,,1.49,76.84
1.94,-1.52,-77.05,,1.52,77.05
1.97,-1.53,-77.13,,1.53,77.13
1.99,-1.53,-77.24,,1.53,77.24
2.01,-1.55,-77.36,,1.55,77.36
2.03,-1.56,-77.52,,1.56,77.52
2.05,-1.57,-77.57,,1.57,77.57
2.07,-1.58,-77.53,,1.58,77.53
2.1,-1.59,-77.75,,1.59,77.75
2.12,-1.59,-77.89,,1.59,77.89
2.14,-1.6,-77.87,,1.6,77.87
2.16,-1.62,-77.86,,1.62,77.86
2.18,-1.64,-78,,1.64,78
2.21,-1.66,-78.16,,1.66,78.16
2.23,-1.66,-78.18,,1.66,78.18
2.25,-1.68,-78.32,,1.68,78.32
2.27,-1.71,-78.39,,1.71,78.39
2.29,-1.74,-78.43,,1.74,78.43
2.31,-1.75,-78.41,,1.75,78.41
2.34,-1.75,-78.48,,1.75,78.48
2.36,-1.75,-78.52,,1.75,78.52
2.38,-1.74,-78.52,,1.74,78.52
2.4,-1.69,-78.31,,1.69,78.31
2.42,-1.69,-78.25,,1.69,78.25
2.45,-1.62,-78.12,,1.62,78.12
2.47,-1.74,-78.12,,1.74,78.12
2.49,-1.96,-78.37,,1.96,78.37
2.51,-2.2,-78.6,,2.2,78.6
2.53,-2.18,-79.01,,2.18,79.01
2.55,-2.16,-79.63,,2.16,79.63
2.58,-2.1,-80.22,,2.1,80.22
2.6,-2.14,-80.63,,2.14,80.63
2.62,-2.23,-80.82,,2.23,80.82
2.64,-2.2,-80.44,,2.2,80.44
2.66,-2.21,-80.02,,2.21,80.02
2.69,-2.32,-79.25,,2.32,79.25
2.71,-2.42,-78.26,,2.42,78.26
2.73,-2.58,-77.18,,2.58,77.18
2.75,-2.58,-75.86,,2.58,75.86
2.77,-2.5,-74.2,,2.5,74.2
2.79,-2.44,-72.63,,2.44,72.63
2.82,-2.27,-71.09,,2.27,71.09
2.84,-1.94,-69.76,,1.94,69.76
2.86,-1.86,-68.5,,1.86,68.5
2.88,-1.69,-66.48,,1.69,66.48
2.9,-1.5,-64.17,,1.5,64.17
2.93,-1.5,-62.31,,1.5,62.31
2.95,-1.5,-60.72,,1.5,60.72
2.97,-1.47,-59.36,,1.47,59.36
2.99,-1.44,-57.4,,1.44,57.4
3.01,-1.26,-55.41,,1.26,55.41
3.04,-1.03,-53.57,,1.03,53.57
3.06,-1.04,-52.02,,1.04,52.02
3.08,-0.96,-50.46,,0.96,50.46
3.1,-0.72,-48.64,,0.72,48.64
3.12,-0.52,-46.62,,0.52,46.62
3.14,-0.17,-44.81,,0.17,44.81
3.17,-0.07,-43.07,,0.07,43.07
3.19,-0.04,-41.39,,0.04,41.39
3.21,0.22,-39.6,,-0.22,39.6
3.23,0.44,-37.8,,-0.44,37.8
3.25,0.8,-36.02,,-0.8,36.02
3.27,1.13,-34.12,,-1.13,34.12
3.29,1.35,-32.3,,-1.35,32.3
3.31,1.2,-30.6,,-1.2,30.6
3.34,1.24,-28.84,,-1.24,28.84
3.36,1.47,-27.27,,-1.47,27.27
3.38,1.54,-25.4,,-1.54,25.4
3.4,1.56,-23.65,,-1.56,23.65
3.42,1.51,-21.99,,-1.51,21.99
3.44,1.4,-20.41,,-1.4,20.41
3.46,1.25,-18.82,,-1.25,18.82
3.48,1.07,-17.25,,-1.07,17.25
3.5,0.84,-15.78,,-0.84,15.78
3.52,0.77,-14.37,,-0.77,14.37
3.54,0.72,-12.92,,-0.72,12.92
3.56,0.5,-11.52,,-0.5,11.52
3.58,0.4,-10.29,,-0.4,10.29
3.61,0.35,-9.11,,-0.35,9.11
3.62,0.29,-7.99,,-0.29,7.99
3.64,0.2,-6.81,,-0.2,6.81
3.66,0.12,-5.72,,-0.12,5.72
3.68,0.05,-4.79,,-0.05,4.79
3.7,0,-4.07,,0,4.07
3.72,-0.02,-3.19,,0.02,3.19
